counter,steering_horizontal,steering_vertical,short_fname,horizontal_override
68.0,right,up,img_68_kweym3.jpg,right
69.0,right,nothing,img_69_kweym3.jpg,right
70.0,right,nothing,img_70_kweym3.jpg,right
71.0,right,nothing,img_71_kweym3.jpg,right
72.0,right,up,img_72_kweym3.jpg,right
73.0,right,up,img_73_kweym3.jpg,right
74.0,right,up,img_74_kweym3.jpg,right
75.0,right,up,img_75_kweym3.jpg,right
76.0,right,up,img_76_kweym3.jpg,right
77.0,right,up,img_77_kweym3.jpg,right
78.0,right,up,img_78_kweym3.jpg,right
79.0,right,up,img_79_kweym3.jpg,right
80.0,right,nothing,img_80_kweym3.jpg,right
81.0,right,up,img_81_kweym3.jpg,right
82.0,right,up,img_82_kweym3.jpg,right
83.0,right,up,img_83_kweym3.jpg,right
84.0,right,up,img_84_kweym3.jpg,right
85.0,right,up,img_85_kweym3.jpg,right
86.0,right,up,img_86_kweym3.jpg,right
87.0,right,nothing,img_87_kweym3.jpg,right
88.0,right,nothing,img_88_kweym3.jpg,right
89.0,right,up,img_89_kweym3.jpg,right
90.0,right,up,img_90_kweym3.jpg,right
91.0,right,up,img_91_kweym3.jpg,right
92.0,right,up,img_92_kweym3.jpg,right
93.0,right,up,img_93_kweym3.jpg,right
94.0,right,up,img_94_kweym3.jpg,right
95.0,right,up,img_95_kweym3.jpg,right
96.0,right,up,img_96_kweym3.jpg,right
97.0,right,nothing,img_97_kweym3.jpg,right
98.0,right,nothing,img_98_kweym3.jpg,right
99.0,right,nothing,img_99_kweym3.jpg,right
100.0,right,nothing,img_100_kweym3.jpg,right
101.0,right,nothing,img_101_kweym3.jpg,right
102.0,right,up,img_102_kweym3.jpg,right
103.0,right,up,img_103_kweym3.jpg,right
104.0,right,up,img_104_kweym3.jpg,right
105.0,right,up,img_105_kweym3.jpg,right
106.0,right,up,img_106_kweym3.jpg,right
107.0,right,up,img_107_kweym3.jpg,right
108.0,right,up,img_108_kweym3.jpg,right
109.0,right,nothing,img_109_kweym3.jpg,right
110.0,right,nothing,img_110_kweym3.jpg,right
111.0,right,nothing,img_111_kweym3.jpg,right
112.0,right,up,img_112_kweym3.jpg,right
113.0,right,up,img_113_kweym3.jpg,right
114.0,right,up,img_114_kweym3.jpg,right
115.0,right,up,img_115_kweym3.jpg,right
116.0,right,up,img_116_kweym3.jpg,right
117.0,right,up,img_117_kweym3.jpg,right
118.0,right,up,img_118_kweym3.jpg,right
119.0,right,nothing,img_119_kweym3.jpg,right
120.0,right,nothing,img_120_kweym3.jpg,right
121.0,right,up,img_121_kweym3.jpg,right
122.0,right,up,img_122_kweym3.jpg,right
123.0,right,up,img_123_kweym3.jpg,right
124.0,right,up,img_124_kweym3.jpg,right
125.0,right,up,img_125_kweym3.jpg,right
126.0,right,up,img_126_kweym3.jpg,right
127.0,right,up,img_127_kweym3.jpg,right
128.0,right,up,img_128_kweym3.jpg,right
129.0,right,up,img_129_kweym3.jpg,right
130.0,right,up,img_130_kweym3.jpg,right
131.0,right,up,img_131_kweym3.jpg,right
132.0,right,up,img_132_kweym3.jpg,right
133.0,right,up,img_133_kweym3.jpg,right
134.0,right,up,img_134_kweym3.jpg,right
135.0,right,up,img_135_kweym3.jpg,right
136.0,right,up,img_136_kweym3.jpg,right
137.0,right,up,img_137_kweym3.jpg,right
138.0,right,up,img_138_kweym3.jpg,right
139.0,right,up,img_139_kweym3.jpg,right
140.0,right,nothing,img_140_kweym3.jpg,right
141.0,right,up,img_141_kweym3.jpg,right
142.0,right,up,img_142_kweym3.jpg,right
143.0,right,up,img_143_kweym3.jpg,right
144.0,right,up,img_144_kweym3.jpg,right
145.0,right,up,img_145_kweym3.jpg,right
146.0,right,up,img_146_kweym3.jpg,right
147.0,right,up,img_147_kweym3.jpg,right
148.0,right,up,img_148_kweym3.jpg,right
149.0,right,up,img_149_kweym3.jpg,right
150.0,right,up,img_150_kweym3.jpg,right
151.0,right,up,img_151_kweym3.jpg,right
152.0,right,up,img_152_kweym3.jpg,right
153.0,right,up,img_153_kweym3.jpg,right
154.0,right,up,img_154_kweym3.jpg,right
155.0,right,up,img_155_kweym3.jpg,right
156.0,right,up,img_156_kweym3.jpg,right
157.0,right,up,img_157_kweym3.jpg,right
158.0,right,up,img_158_kweym3.jpg,right
159.0,right,up,img_159_kweym3.jpg,right
160.0,right,up,img_160_kweym3.jpg,right
161.0,right,up,img_161_kweym3.jpg,right
162.0,right,up,img_162_kweym3.jpg,right
163.0,right,up,img_163_kweym3.jpg,right
164.0,right,up,img_164_kweym3.jpg,right
165.0,right,up,img_165_kweym3.jpg,right
166.0,right,up,img_166_kweym3.jpg,right
167.0,right,up,img_167_kweym3.jpg,right
168.0,right,up,img_168_kweym3.jpg,right
169.0,right,up,img_169_kweym3.jpg,right
170.0,right,up,img_170_kweym3.jpg,right
171.0,right,up,img_171_kweym3.jpg,right
172.0,right,up,img_172_kweym3.jpg,right
173.0,right,up,img_173_kweym3.jpg,right
174.0,right,up,img_174_kweym3.jpg,right
175.0,right,up,img_175_kweym3.jpg,right
176.0,right,up,img_176_kweym3.jpg,right
177.0,right,up,img_177_kweym3.jpg,right
178.0,right,up,img_178_kweym3.jpg,right
179.0,right,up,img_179_kweym3.jpg,right
180.0,right,up,img_180_kweym3.jpg,right
181.0,right,up,img_181_kweym3.jpg,right
182.0,right,up,img_182_kweym3.jpg,right
183.0,right,up,img_183_kweym3.jpg,right
184.0,right,up,img_184_kweym3.jpg,right
185.0,right,up,img_185_kweym3.jpg,right
186.0,right,up,img_186_kweym3.jpg,right
187.0,right,up,img_187_kweym3.jpg,right
188.0,right,up,img_188_kweym3.jpg,right
189.0,right,up,img_189_kweym3.jpg,right
190.0,right,up,img_190_kweym3.jpg,right
191.0,right,up,img_191_kweym3.jpg,right
192.0,right,up,img_192_kweym3.jpg,right
193.0,right,up,img_193_kweym3.jpg,right
194.0,right,up,img_194_kweym3.jpg,right
203.0,left,nothing,img_203_kweym3.jpg,left
204.0,left,nothing,img_204_kweym3.jpg,left
205.0,left,nothing,img_205_kweym3.jpg,left
206.0,nothing,nothing,img_206_kweym3.jpg,nothing
207.0,nothing,up,img_207_kweym3.jpg,nothing
208.0,nothing,up,img_208_kweym3.jpg,nothing
209.0,left,up,img_209_kweym3.jpg,left
210.0,left,up,img_210_kweym3.jpg,left
211.0,left,up,img_211_kweym3.jpg,left
212.0,left,up,img_212_kweym3.jpg,left
213.0,left,up,img_213_kweym3.jpg,left
214.0,left,up,img_214_kweym3.jpg,left
215.0,left,up,img_215_kweym3.jpg,left
216.0,left,nothing,img_216_kweym3.jpg,left
217.0,left,nothing,img_217_kweym3.jpg,left
218.0,left,nothing,img_218_kweym3.jpg,left
219.0,left,nothing,img_219_kweym3.jpg,left
220.0,left,nothing,img_220_kweym3.jpg,left
221.0,left,nothing,img_221_kweym3.jpg,left
222.0,left,nothing,img_222_kweym3.jpg,left
223.0,left,nothing,img_223_kweym3.jpg,left
224.0,left,nothing,img_224_kweym3.jpg,left
225.0,left,up,img_225_kweym3.jpg,left
226.0,left,up,img_226_kweym3.jpg,left
227.0,left,up,img_227_kweym3.jpg,left
228.0,left,up,img_228_kweym3.jpg,left
229.0,nothing,up,img_229_kweym3.jpg,nothing
230.0,nothing,nothing,img_230_kweym3.jpg,nothing
231.0,nothing,up,img_231_kweym3.jpg,nothing
232.0,nothing,up,img_232_kweym3.jpg,nothing
233.0,nothing,up,img_233_kweym3.jpg,nothing
234.0,nothing,up,img_234_kweym3.jpg,nothing
235.0,nothing,up,img_235_kweym3.jpg,nothing
236.0,nothing,up,img_236_kweym3.jpg,nothing
237.0,nothing,up,img_237_kweym3.jpg,nothing
238.0,nothing,up,img_238_kweym3.jpg,nothing
239.0,nothing,up,img_239_kweym3.jpg,nothing
240.0,nothing,up,img_240_kweym3.jpg,nothing
241.0,nothing,nothing,img_241_kweym3.jpg,nothing
242.0,nothing,nothing,img_242_kweym3.jpg,nothing
243.0,nothing,nothing,img_243_kweym3.jpg,nothing
244.0,nothing,nothing,img_244_kweym3.jpg,nothing
245.0,nothing,nothing,img_245_kweym3.jpg,nothing
246.0,nothing,up,img_246_kweym3.jpg,nothing
247.0,nothing,up,img_247_kweym3.jpg,nothing
248.0,nothing,up,img_248_kweym3.jpg,nothing
249.0,nothing,up,img_249_kweym3.jpg,nothing
250.0,nothing,up,img_250_kweym3.jpg,nothing
251.0,nothing,up,img_251_kweym3.jpg,nothing
252.0,nothing,up,img_252_kweym3.jpg,nothing
253.0,nothing,up,img_253_kweym3.jpg,nothing
254.0,nothing,up,img_254_kweym3.jpg,nothing
255.0,nothing,up,img_255_kweym3.jpg,nothing
256.0,nothing,nothing,img_256_kweym3.jpg,nothing
257.0,nothing,up,img_257_kweym3.jpg,nothing
258.0,nothing,up,img_258_kweym3.jpg,nothing
259.0,nothing,up,img_259_kweym3.jpg,nothing
260.0,nothing,up,img_260_kweym3.jpg,nothing
261.0,nothing,up,img_261_kweym3.jpg,nothing
262.0,nothing,up,img_262_kweym3.jpg,nothing
263.0,nothing,up,img_263_kweym3.jpg,nothing
264.0,nothing,up,img_264_kweym3.jpg,nothing
265.0,nothing,up,img_265_kweym3.jpg,nothing
266.0,right,nothing,img_266_kweym3.jpg,right
267.0,right,nothing,img_267_kweym3.jpg,right
268.0,right,nothing,img_268_kweym3.jpg,right
269.0,right,up,img_269_kweym3.jpg,right
270.0,right,up,img_270_kweym3.jpg,right
271.0,right,up,img_271_kweym3.jpg,right
272.0,right,up,img_272_kweym3.jpg,right
273.0,right,up,img_273_kweym3.jpg,right
274.0,right,up,img_274_kweym3.jpg,right
275.0,right,up,img_275_kweym3.jpg,right
276.0,right,up,img_276_kweym3.jpg,right
277.0,right,up,img_277_kweym3.jpg,right
278.0,right,nothing,img_278_kweym3.jpg,right
279.0,right,nothing,img_279_kweym3.jpg,right
280.0,right,nothing,img_280_kweym3.jpg,right
281.0,right,up,img_281_kweym3.jpg,right
282.0,right,up,img_282_kweym3.jpg,right
283.0,right,up,img_283_kweym3.jpg,right
284.0,right,up,img_284_kweym3.jpg,right
285.0,right,up,img_285_kweym3.jpg,right
286.0,right,up,img_286_kweym3.jpg,right
287.0,right,up,img_287_kweym3.jpg,right
288.0,right,up,img_288_kweym3.jpg,right
289.0,right,up,img_289_kweym3.jpg,right
290.0,right,up,img_290_kweym3.jpg,right
291.0,right,up,img_291_kweym3.jpg,right
292.0,right,up,img_292_kweym3.jpg,right
293.0,right,up,img_293_kweym3.jpg,right
294.0,right,up,img_294_kweym3.jpg,right
295.0,right,up,img_295_kweym3.jpg,right
296.0,right,up,img_296_kweym3.jpg,right
297.0,right,up,img_297_kweym3.jpg,right
298.0,right,nothing,img_298_kweym3.jpg,right
299.0,right,up,img_299_kweym3.jpg,right
300.0,right,up,img_300_kweym3.jpg,right
301.0,right,up,img_301_kweym3.jpg,right
302.0,right,up,img_302_kweym3.jpg,right
303.0,right,up,img_303_kweym3.jpg,right
304.0,right,up,img_304_kweym3.jpg,right
305.0,right,up,img_305_kweym3.jpg,right
306.0,right,up,img_306_kweym3.jpg,right
307.0,right,up,img_307_kweym3.jpg,right
308.0,right,up,img_308_kweym3.jpg,right
309.0,right,up,img_309_kweym3.jpg,right
310.0,right,up,img_310_kweym3.jpg,right
311.0,right,up,img_311_kweym3.jpg,right
312.0,right,up,img_312_kweym3.jpg,right
313.0,right,up,img_313_kweym3.jpg,right
314.0,right,up,img_314_kweym3.jpg,right
315.0,right,up,img_315_kweym3.jpg,right
316.0,right,up,img_316_kweym3.jpg,right
317.0,nothing,up,img_317_kweym3.jpg,nothing
329.0,left,nothing,img_329_kweym3.jpg,left
330.0,left,nothing,img_330_kweym3.jpg,left
331.0,left,nothing,img_331_kweym3.jpg,left
332.0,left,nothing,img_332_kweym3.jpg,left
333.0,left,up,img_333_kweym3.jpg,left
334.0,left,up,img_334_kweym3.jpg,left
335.0,left,up,img_335_kweym3.jpg,left
336.0,left,up,img_336_kweym3.jpg,left
337.0,left,up,img_337_kweym3.jpg,left
338.0,left,up,img_338_kweym3.jpg,left
339.0,left,up,img_339_kweym3.jpg,left
340.0,left,up,img_340_kweym3.jpg,left
341.0,left,up,img_341_kweym3.jpg,left
342.0,left,up,img_342_kweym3.jpg,left
343.0,left,up,img_343_kweym3.jpg,left
344.0,left,up,img_344_kweym3.jpg,left
345.0,left,up,img_345_kweym3.jpg,left
346.0,left,up,img_346_kweym3.jpg,left
347.0,nothing,nothing,img_347_kweym3.jpg,nothing
348.0,nothing,nothing,img_348_kweym3.jpg,nothing
349.0,nothing,up,img_349_kweym3.jpg,nothing
350.0,nothing,up,img_350_kweym3.jpg,nothing
351.0,nothing,up,img_351_kweym3.jpg,nothing
352.0,nothing,up,img_352_kweym3.jpg,nothing
353.0,nothing,up,img_353_kweym3.jpg,nothing
354.0,nothing,up,img_354_kweym3.jpg,nothing
355.0,nothing,up,img_355_kweym3.jpg,nothing
356.0,nothing,up,img_356_kweym3.jpg,nothing
357.0,nothing,up,img_357_kweym3.jpg,nothing
358.0,nothing,up,img_358_kweym3.jpg,nothing
359.0,nothing,up,img_359_kweym3.jpg,nothing
360.0,nothing,up,img_360_kweym3.jpg,nothing
361.0,nothing,nothing,img_361_kweym3.jpg,nothing
362.0,nothing,nothing,img_362_kweym3.jpg,nothing
363.0,nothing,nothing,img_363_kweym3.jpg,nothing
364.0,right,nothing,img_364_kweym3.jpg,right
365.0,right,up,img_365_kweym3.jpg,right
366.0,right,up,img_366_kweym3.jpg,right
367.0,right,up,img_367_kweym3.jpg,right
368.0,right,up,img_368_kweym3.jpg,right
369.0,right,up,img_369_kweym3.jpg,right
370.0,right,up,img_370_kweym3.jpg,right
371.0,right,up,img_371_kweym3.jpg,right
372.0,right,up,img_372_kweym3.jpg,right
373.0,right,up,img_373_kweym3.jpg,right
374.0,right,up,img_374_kweym3.jpg,right
375.0,right,up,img_375_kweym3.jpg,right
376.0,right,up,img_376_kweym3.jpg,right
377.0,right,up,img_377_kweym3.jpg,right
378.0,right,up,img_378_kweym3.jpg,right
379.0,right,up,img_379_kweym3.jpg,right
380.0,right,up,img_380_kweym3.jpg,right
381.0,right,up,img_381_kweym3.jpg,right
382.0,right,up,img_382_kweym3.jpg,right
383.0,right,up,img_383_kweym3.jpg,right
384.0,right,up,img_384_kweym3.jpg,right
385.0,right,up,img_385_kweym3.jpg,right
386.0,right,up,img_386_kweym3.jpg,right
387.0,right,up,img_387_kweym3.jpg,right
388.0,right,nothing,img_388_kweym3.jpg,right
389.0,right,nothing,img_389_kweym3.jpg,right
390.0,right,up,img_390_kweym3.jpg,right
391.0,right,up,img_391_kweym3.jpg,right
392.0,right,up,img_392_kweym3.jpg,right
393.0,right,up,img_393_kweym3.jpg,right
394.0,right,up,img_394_kweym3.jpg,right
395.0,right,up,img_395_kweym3.jpg,right
396.0,right,up,img_396_kweym3.jpg,right
397.0,right,up,img_397_kweym3.jpg,right
398.0,right,up,img_398_kweym3.jpg,right
399.0,right,up,img_399_kweym3.jpg,right
400.0,right,up,img_400_kweym3.jpg,right
401.0,right,up,img_401_kweym3.jpg,right
402.0,right,up,img_402_kweym3.jpg,right
403.0,right,up,img_403_kweym3.jpg,right
404.0,right,up,img_404_kweym3.jpg,right
405.0,right,up,img_405_kweym3.jpg,right
406.0,right,up,img_406_kweym3.jpg,right
407.0,right,up,img_407_kweym3.jpg,right
408.0,right,up,img_408_kweym3.jpg,right
409.0,right,up,img_409_kweym3.jpg,right
410.0,right,up,img_410_kweym3.jpg,right
411.0,right,up,img_411_kweym3.jpg,right
412.0,right,up,img_412_kweym3.jpg,right
413.0,right,up,img_413_kweym3.jpg,right
414.0,right,up,img_414_kweym3.jpg,right
415.0,right,up,img_415_kweym3.jpg,right
416.0,right,up,img_416_kweym3.jpg,right
417.0,right,up,img_417_kweym3.jpg,right
418.0,right,up,img_418_kweym3.jpg,right
419.0,right,up,img_419_kweym3.jpg,right
420.0,right,up,img_420_kweym3.jpg,right
421.0,right,up,img_421_kweym3.jpg,right
422.0,right,up,img_422_kweym3.jpg,right
423.0,right,nothing,img_423_kweym3.jpg,right
424.0,right,nothing,img_424_kweym3.jpg,right
425.0,right,nothing,img_425_kweym3.jpg,right
426.0,right,up,img_426_kweym3.jpg,right
427.0,right,up,img_427_kweym3.jpg,right
428.0,nothing,up,img_428_kweym3.jpg,nothing
429.0,nothing,up,img_429_kweym3.jpg,nothing
430.0,nothing,up,img_430_kweym3.jpg,nothing
435.0,nothing,up,img_435_kweym3.jpg,nothing
436.0,nothing,up,img_436_kweym3.jpg,nothing
437.0,nothing,up,img_437_kweym3.jpg,nothing
438.0,nothing,up,img_438_kweym3.jpg,nothing
439.0,nothing,up,img_439_kweym3.jpg,nothing
440.0,nothing,up,img_440_kweym3.jpg,nothing
441.0,nothing,up,img_441_kweym3.jpg,nothing
442.0,nothing,up,img_442_kweym3.jpg,nothing
443.0,nothing,nothing,img_443_kweym3.jpg,nothing
444.0,nothing,nothing,img_444_kweym3.jpg,nothing
445.0,nothing,up,img_445_kweym3.jpg,nothing
446.0,nothing,up,img_446_kweym3.jpg,nothing
447.0,nothing,up,img_447_kweym3.jpg,nothing
448.0,nothing,up,img_448_kweym3.jpg,nothing
449.0,nothing,up,img_449_kweym3.jpg,nothing
450.0,nothing,up,img_450_kweym3.jpg,nothing
451.0,nothing,up,img_451_kweym3.jpg,nothing
452.0,nothing,up,img_452_kweym3.jpg,nothing
453.0,nothing,up,img_453_kweym3.jpg,nothing
454.0,nothing,up,img_454_kweym3.jpg,nothing
455.0,nothing,up,img_455_kweym3.jpg,nothing
456.0,nothing,up,img_456_kweym3.jpg,nothing
457.0,nothing,up,img_457_kweym3.jpg,nothing
458.0,nothing,up,img_458_kweym3.jpg,nothing
459.0,right,up,img_459_kweym3.jpg,right
460.0,right,nothing,img_460_kweym3.jpg,right
461.0,right,nothing,img_461_kweym3.jpg,right
462.0,right,nothing,img_462_kweym3.jpg,right
463.0,right,nothing,img_463_kweym3.jpg,right
464.0,right,nothing,img_464_kweym3.jpg,right
465.0,right,nothing,img_465_kweym3.jpg,right
466.0,right,nothing,img_466_kweym3.jpg,right
467.0,right,nothing,img_467_kweym3.jpg,right
468.0,right,up,img_468_kweym3.jpg,right
469.0,right,up,img_469_kweym3.jpg,right
470.0,right,up,img_470_kweym3.jpg,right
471.0,right,up,img_471_kweym3.jpg,right
472.0,right,up,img_472_kweym3.jpg,right
473.0,right,up,img_473_kweym3.jpg,right
474.0,right,up,img_474_kweym3.jpg,right
475.0,right,up,img_475_kweym3.jpg,right
476.0,right,up,img_476_kweym3.jpg,right
477.0,right,up,img_477_kweym3.jpg,right
478.0,right,up,img_478_kweym3.jpg,right
479.0,right,up,img_479_kweym3.jpg,right
480.0,right,up,img_480_kweym3.jpg,right
481.0,right,up,img_481_kweym3.jpg,right
482.0,right,up,img_482_kweym3.jpg,right
483.0,right,up,img_483_kweym3.jpg,right
484.0,right,up,img_484_kweym3.jpg,right
485.0,right,up,img_485_kweym3.jpg,right
486.0,right,up,img_486_kweym3.jpg,right
487.0,right,up,img_487_kweym3.jpg,right
488.0,right,up,img_488_kweym3.jpg,right
489.0,right,up,img_489_kweym3.jpg,right
490.0,right,up,img_490_kweym3.jpg,right
491.0,right,nothing,img_491_kweym3.jpg,right
492.0,right,nothing,img_492_kweym3.jpg,right
493.0,right,nothing,img_493_kweym3.jpg,right
494.0,right,up,img_494_kweym3.jpg,right
495.0,right,up,img_495_kweym3.jpg,right
496.0,right,up,img_496_kweym3.jpg,right
497.0,right,up,img_497_kweym3.jpg,right
498.0,right,nothing,img_498_kweym3.jpg,right
499.0,right,up,img_499_kweym3.jpg,right
500.0,right,up,img_500_kweym3.jpg,right
501.0,right,up,img_501_kweym3.jpg,right
502.0,right,up,img_502_kweym3.jpg,right
503.0,right,up,img_503_kweym3.jpg,right
504.0,right,up,img_504_kweym3.jpg,right
505.0,right,nothing,img_505_kweym3.jpg,right
506.0,right,up,img_506_kweym3.jpg,right
507.0,right,up,img_507_kweym3.jpg,right
508.0,right,up,img_508_kweym3.jpg,right
509.0,right,up,img_509_kweym3.jpg,right
510.0,right,up,img_510_kweym3.jpg,right
511.0,right,up,img_511_kweym3.jpg,right
512.0,right,up,img_512_kweym3.jpg,right
513.0,right,up,img_513_kweym3.jpg,right
514.0,right,up,img_514_kweym3.jpg,right
515.0,right,up,img_515_kweym3.jpg,right
516.0,right,up,img_516_kweym3.jpg,right
517.0,right,up,img_517_kweym3.jpg,right
518.0,right,up,img_518_kweym3.jpg,right
519.0,right,up,img_519_kweym3.jpg,right
520.0,right,up,img_520_kweym3.jpg,right
521.0,right,up,img_521_kweym3.jpg,right
522.0,right,up,img_522_kweym3.jpg,right
523.0,right,up,img_523_kweym3.jpg,right
524.0,right,up,img_524_kweym3.jpg,right
525.0,right,up,img_525_kweym3.jpg,right
526.0,right,nothing,img_526_kweym3.jpg,right
527.0,right,nothing,img_527_kweym3.jpg,right
528.0,right,up,img_528_kweym3.jpg,right
529.0,right,up,img_529_kweym3.jpg,right
530.0,right,up,img_530_kweym3.jpg,right
531.0,right,up,img_531_kweym3.jpg,right
532.0,right,up,img_532_kweym3.jpg,right
533.0,right,up,img_533_kweym3.jpg,right
534.0,right,up,img_534_kweym3.jpg,right
535.0,right,up,img_535_kweym3.jpg,right
536.0,right,up,img_536_kweym3.jpg,right
537.0,right,up,img_537_kweym3.jpg,right
538.0,right,up,img_538_kweym3.jpg,right
539.0,right,up,img_539_kweym3.jpg,right
540.0,right,up,img_540_kweym3.jpg,right
541.0,right,up,img_541_kweym3.jpg,right
542.0,right,up,img_542_kweym3.jpg,right
543.0,right,up,img_543_kweym3.jpg,right
544.0,right,up,img_544_kweym3.jpg,right
545.0,right,up,img_545_kweym3.jpg,right
546.0,right,up,img_546_kweym3.jpg,right
547.0,right,up,img_547_kweym3.jpg,right
548.0,right,up,img_548_kweym3.jpg,right
549.0,right,up,img_549_kweym3.jpg,right
550.0,right,up,img_550_kweym3.jpg,right
551.0,right,up,img_551_kweym3.jpg,right
552.0,right,up,img_552_kweym3.jpg,right
553.0,right,up,img_553_kweym3.jpg,right
554.0,right,up,img_554_kweym3.jpg,right
555.0,right,up,img_555_kweym3.jpg,right
556.0,right,up,img_556_kweym3.jpg,right
557.0,right,up,img_557_kweym3.jpg,right
558.0,right,up,img_558_kweym3.jpg,right
559.0,right,up,img_559_kweym3.jpg,right
560.0,right,up,img_560_kweym3.jpg,right
561.0,right,up,img_561_kweym3.jpg,right
562.0,right,up,img_562_kweym3.jpg,right
563.0,right,up,img_563_kweym3.jpg,right
564.0,right,up,img_564_kweym3.jpg,right
565.0,right,up,img_565_kweym3.jpg,right
566.0,right,up,img_566_kweym3.jpg,right
567.0,right,up,img_567_kweym3.jpg,right
568.0,right,up,img_568_kweym3.jpg,right
569.0,right,up,img_569_kweym3.jpg,right
579.0,nothing,up,img_579_kweym3.jpg,nothing
580.0,nothing,up,img_580_kweym3.jpg,nothing
581.0,nothing,up,img_581_kweym3.jpg,nothing
582.0,nothing,up,img_582_kweym3.jpg,nothing
583.0,nothing,up,img_583_kweym3.jpg,nothing
584.0,nothing,up,img_584_kweym3.jpg,nothing
585.0,nothing,up,img_585_kweym3.jpg,nothing
586.0,nothing,up,img_586_kweym3.jpg,nothing
587.0,left,nothing,img_587_kweym3.jpg,left
588.0,left,nothing,img_588_kweym3.jpg,left
589.0,left,nothing,img_589_kweym3.jpg,left
590.0,nothing,nothing,img_590_kweym3.jpg,nothing
591.0,nothing,up,img_591_kweym3.jpg,nothing
592.0,nothing,up,img_592_kweym3.jpg,nothing
593.0,nothing,up,img_593_kweym3.jpg,nothing
594.0,nothing,up,img_594_kweym3.jpg,nothing
595.0,nothing,up,img_595_kweym3.jpg,nothing
596.0,nothing,up,img_596_kweym3.jpg,nothing
597.0,nothing,up,img_597_kweym3.jpg,nothing
598.0,nothing,up,img_598_kweym3.jpg,nothing
599.0,nothing,up,img_599_kweym3.jpg,nothing
600.0,nothing,up,img_600_kweym3.jpg,nothing
601.0,nothing,up,img_601_kweym3.jpg,nothing
602.0,nothing,up,img_602_kweym3.jpg,nothing
603.0,nothing,up,img_603_kweym3.jpg,nothing
604.0,nothing,up,img_604_kweym3.jpg,nothing
605.0,nothing,up,img_605_kweym3.jpg,nothing
